非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
11,采购至应付,费用报销,A1_03_0001,费用报销,A02002,结算通讯费,"5023030100 办公费-通讯费-电话费
5023030200 办公费-通讯费-其他通讯费用
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的通讯相关费用，包括固定电话、SIM卡、网络服务费、其他通讯费等，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,通讯费结算汇总表,通讯费明细表,西安中心,王娟,正常,,
12,采购至应付,费用报销,A1_03_0001,费用报销,A02003,结算印刷费,"5023050000办公费-印刷费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的印刷相关费用，包括打印、复印等，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,印刷费结算汇总表,,西安中心,王娟,正常,,
13,采购至应付,费用报销,A1_03_0001,费用报销,A02004,结算购买发票费用,"5023020000办公费-发票费用
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的购买发票费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,购买发票结算汇总表,,西安中心,王娟,正常,,
14,采购至应付,费用报销,A1_03_0001,费用报销,A02005,结算路桥停车费,"5023010000办公费-办公车辆路桥、停车费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的路桥、停车费，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,路桥停车费结算汇总表,路桥停车费明细表,西安中心,王娟,正常,,
15,采购至应付,费用报销,A1_03_0001,费用报销,A02006,结算公务车辆洗车费,"5023010000办公费-办公车辆路桥、停车费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门执行公务时使用的配备车辆发生的清洗费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,公务车辆洗车费结算汇总表,,西安中心,王娟,正常,,
16,采购至应付,费用报销,A1_03_0001,费用报销,A02007,结算邮电费,"5023060000办公费-邮电费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的邮电费，通过填写费用报销单，以立即支付或挂账的方式结算。,费用报销单,邮电费结算汇总表,寄件明细表,西安中心,王娟,正常,,
17,采购至应付,费用报销,A1_03_0001,费用报销,A02008,结算刻章费,"5023090098办公费-其他办公费用
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的刻章费，通过填写费用报销单，以立即支付或挂账的方式结算。,费用报销单,刻章费结算汇总表,,西安中心,王娟,正常,,
18,采购至应付,费用报销,A1_03_0001,费用报销,A02009,结算包装服务费,"5044020000包装费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的包装服务费，通过填写费用报销单，以立即支付或挂账的方式结算。,费用报销单,包装服务费结算汇总表,,大庆中心,吴晶,正常,,
19,采购至应付,费用报销,A1_03_0001,费用报销,A02010,结算包装物费用,"5044020000包装费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的与商品包装和包装材料相关且无订单的相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,包装物费用结算汇总表,,大庆中心,李巍巍,正常,,
20,采购至应付,费用报销,A1_03_0001,费用报销,A02011,结算保管费,"5044050000保管费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指本企业各部门日常发生的保管费，通过填写费用报销单，以立即支付或挂账的方式报销保管费。,费用报销单,保管费结算汇总表,,大庆中心,吴月明,正常,,
21,采购至应付,费用报销,A1_03_0001,费用报销,A02012,结算现金及雇员忠诚保证保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的各项与现金及雇员忠诚保证保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,现金及雇员忠诚保证保险费结算汇总表,,成都中心,谢菊,正常,,
22,采购至应付,费用报销,A1_03_0001,费用报销,A02013,结算综合责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与综合责任保险、综合责任超赔保险一层、综合责任超赔保险二层等相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,综合责任超赔保险费结算汇总表,,成都中心,谢菊,正常,,
23,采购至应付,费用报销,A1_03_0001,费用报销,A02014,结算雇主责任保险费-国内,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生针对国内员工的雇主责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,雇主责任保险费（国内）结算汇总表,,成都中心,谢菊,正常,,
24,采购至应付,费用报销,A1_03_0001,费用报销,A02373,结算雇主责任保险费-海外,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生针对海外员工的雇主责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,雇主责任保险费（海外）结算汇总表,,成都中心,谢菊,正常,,
25,采购至应付,费用报销,A1_03_0001,费用报销,A02015,结算安全生产责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与安全生产责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,安全生产责任保险费结算汇总表,,成都中心,谢菊,正常,,
26,采购至应付,费用报销,A1_03_0001,费用报销,A02016,结算井喷控制费用保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与井喷控制费用保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,井喷控制费用保险费结算汇总表,,成都中心,谢菊,正常,,
27,采购至应付,费用报销,A1_03_0001,费用报销,A02017,结算钻井设备保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与钻井设备保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,钻井设备保险费结算汇总表,,成都中心,谢菊,正常,,
28,采购至应付,费用报销,A1_03_0001,费用报销,A02018,结算巨灾风险转移保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与巨灾风险转移保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,巨灾风险转移保险费结算汇总表,,成都中心,谢菊,正常,,
29,采购至应付,费用报销,A1_03_0001,费用报销,A02019,结算企业财产保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与企业财产保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,企业财产保险及机器损坏保险费结算汇总表,,成都中心,谢菊,正常,,
30,采购至应付,费用报销,A1_03_0001,费用报销,A02020,结算储备油库财产保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与储备油库财产保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,企业财产保险及机器损坏保险费结算汇总表,,成都中心,谢菊,正常,,
31,采购至应付,费用报销,A1_03_0001,费用报销,A02037,结算利润损失保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与利润损失保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,企业财产保险及机器损坏保险费结算汇总表,,成都中心,谢菊,正常,,
32,采购至应付,费用报销,A1_03_0001,费用报销,A02021,结算货物运输保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与货物运输保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,货物运输保险费结算汇总表,,成都中心,谢菊,正常,,
33,采购至应付,费用报销,A1_03_0001,费用报销,A02022,结算董监事及高管人员责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与董监事及高管人员责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,董监事及高管人员责任保险费结算汇总表,,成都中心,谢菊,正常,,
34,采购至应付,费用报销,A1_03_0001,费用报销,A02023,结算建筑工程保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与建筑工程保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算建筑工程保险,费用报销单,建筑工程保险费结算汇总表,,成都中心,谢菊,正常,,
35,采购至应付,费用报销,A1_03_0001,费用报销,A02024,结算安装工程保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与安装工程保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,安装工程保险费结算汇总表,,成都中心,谢菊,正常,,
36,采购至应付,费用报销,A1_03_0001,费用报销,A02026,结算机器损坏保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与机器损坏保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,企业财产保险及机器损坏保险费结算汇总表,,成都中心,谢菊,正常,,
37,采购至应付,费用报销,A1_03_0001,费用报销,A02027,结算船舶保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与船舶保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,船舶保险费结算汇总表,,成都中心,谢菊,正常,,
38,采购至应付,费用报销,A1_03_0001,费用报销,A02028,结算钻井平台（船）保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与钻井平台（船）保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,钻井平台（船）保险费结算汇总表,,成都中心,谢菊,正常,,
39,采购至应付,费用报销,A1_03_0001,费用报销,A02029,结算机动车辆保险费,"5041000000财产保险费
2221001079应交税费-应交税金-车船使用税
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款",是指企业各部门日常发生的与机动车辆保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,机动车辆保险费结算汇总表,"投（续）保财产统计表、
车辆保险明细表",成都中心,谢菊,正常,,
40,采购至应付,费用报销,A1_03_0001,费用报销,A02030,结算道路危险货物承运人责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与道路危险货物承运人责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,道路危险货物承运人责任保险费结算汇总表,,成都中心,谢菊,正常,,
41,采购至应付,费用报销,A1_03_0001,费用报销,A02031,结算道路客运承运人责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与道路客运承运人责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,道路客运承运人责任保险费结算汇总表,,成都中心,谢菊,正常,,
42,采购至应付,费用报销,A1_03_0001,费用报销,A02032,结算物业责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与物业责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,物业责任保险费结算汇总表,,成都中心,谢菊,正常,,
43,采购至应付,费用报销,A1_03_0001,费用报销,A02033,结算产品责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与产品责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,产品责任保险费结算汇总表,,成都中心,谢菊,正常,,
44,采购至应付,费用报销,A1_03_0001,费用报销,A02034,结算产品质量保证保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与产品质量保证保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,产品质量保证保险费结算汇总表,,成都中心,谢菊,正常,,
45,采购至应付,费用报销,A1_03_0001,费用报销,A02035,结算污染责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与污染责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,污染责任保险费结算汇总表,,成都中心,谢菊,正常,,
46,采购至应付,费用报销,A1_03_0001,费用报销,A02036,结算职业责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与职业责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,职业责任保险费结算汇总表,,成都中心,谢菊,正常,,
47,采购至应付,费用报销,A1_03_0001,费用报销,A02038,结算信用保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与信用保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算信用保险,费用报销单,信用保险费结算汇总表,,成都中心,谢菊,正常,,
